name_playlist;name_video;published;view_count;like_count;dislike_count;favorite_count;comment_count;duration
Четвертый сезон #ещенепознер;Полина Агуреева: «Это не мой мир» #ещенепознер;2021-01-22T07:00:08Z;273991;9132;449;0;1505;5010
Четвертый сезон #ещенепознер;Сергей Мироненко: «Так дальше жить нельзя» #ещенепознер;2021-01-28T07:00:08Z;274274;10026;346;0;1236;4050
Четвертый сезон #ещенепознер;Николай Цискаридзе: «Я из тех людей, кто скажет правду» #ещенепознер;2021-02-04T07:00:13Z;856321;32660;1234;0;6018;6583
Четвертый сезон #ещенепознер;Александр Дугин: «Ла-ла-ла-ла-ла» #ещенепознер;2021-02-11T15:00:15Z;349266;14089;1300;0;3010;5638
Четвертый сезон #ещенепознер;Александр Проханов: «Русский Ренессанс» #ещенепознер;2021-03-18T16:00:01Z;82119;2732;886;0;1591;5724
Четвертый сезон #ещенепознер;Александр Проханов: «Русский Ренессанс» #ещенепознер;2021-03-18T16:00:01Z;82119;2732;886;0;1591;5724
Четвертый сезон #ещенепознер;Истории Серебряного века: секс, алкоголь и немного поэзии #ещенепознер;2021-03-11T16:00:30Z;299634;10057;344;0;1220;5617
Четвертый сезон #ещенепознер;Юрий Стоянов: «Вообще ничего смешного» #ещенепознер;2021-03-04T07:00:05Z;1054388;40274;981;0;4802;-1
Четвертый сезон #ещенепознер;Олег Дорман: «Власть — фундамент для лжи» #ещенепознер;2021-02-25T15:30:02Z;164849;5889;116;0;836;5239
Четвертый сезон #ещенепознер;Эдуард Артемьев: «Картины мастеров» #ещенепознер;2021-02-18T07:00:16Z;306931;18446;162;0;3333;5415
Четвертый сезон #ещенепознер;Александр Проханов: «Русский Ренессанс» #ещенепознер;2021-03-18T16:00:01Z;82119;2732;886;0;1591;5724
Четвертый сезон #ещенепознер;Истории Серебряного века: секс, алкоголь и немного поэзии #ещенепознер;2021-03-11T16:00:30Z;299634;10057;344;0;1220;5617
Четвертый сезон #ещенепознер;Юрий Стоянов: «Вообще ничего смешного» #ещенепознер;2021-03-04T07:00:05Z;1054388;40274;981;0;4802;-1
Четвертый сезон #ещенепознер;Олег Дорман: «Власть — фундамент для лжи» #ещенепознер;2021-02-25T15:30:02Z;164849;5889;116;0;836;5239
Четвертый сезон #ещенепознер;Эдуард Артемьев: «Картины мастеров» #ещенепознер;2021-02-18T07:00:16Z;306931;18446;162;0;3333;5415
Четвертый сезон #ещенепознер;Александр Ширвиндт: «Теперь я свидетель всего» #ещенепознер;2020-12-17T16:00:10Z;740041;23297;694;0;2556;4335
Четвертый сезон #ещенепознер;Михаил Мейлах: судьба ленинградской интеллигенции #ещенепознер;2020-12-10T08:00:02Z;248763;8737;209;0;1165;5501
Четвертый сезон #ещенепознер;Юрий Арабов: «Верхний слой бытия» #ещенепознер;2020-11-26T16:30:05Z;316929;11765;282;0;1573;6017
Четвертый сезон #ещенепознер;Лев Лурье: невероятная история главного города России #ещенепознер;2020-10-01T16:15:01Z;305790;10071;256;0;936;5135
Четвертый сезон #ещенепознер;Братва: история бандитского Петербурга #ещенепознер;2020-12-03T17:00:12Z;1739281;34934;3167;0;5507;8399
Четвертый сезон #ещенепознер;Александр Проханов: «Русский Ренессанс» #ещенепознер;2021-03-18T16:00:01Z;82119;2732;886;0;1591;5724
Четвертый сезон #ещенепознер;Истории Серебряного века: секс, алкоголь и немного поэзии #ещенепознер;2021-03-11T16:00:30Z;299634;10057;344;0;1220;5617
Четвертый сезон #ещенепознер;Юрий Стоянов: «Вообще ничего смешного» #ещенепознер;2021-03-04T07:00:05Z;1054388;40274;981;0;4802;-1
Четвертый сезон #ещенепознер;Олег Дорман: «Власть — фундамент для лжи» #ещенепознер;2021-02-25T15:30:02Z;164849;5889;116;0;836;5239
Четвертый сезон #ещенепознер;Эдуард Артемьев: «Картины мастеров» #ещенепознер;2021-02-18T07:00:16Z;306931;18446;162;0;3333;5415
Четвертый сезон #ещенепознер;Александр Ширвиндт: «Теперь я свидетель всего» #ещенепознер;2020-12-17T16:00:10Z;740041;23297;694;0;2556;4335
Четвертый сезон #ещенепознер;Михаил Мейлах: судьба ленинградской интеллигенции #ещенепознер;2020-12-10T08:00:02Z;248763;8737;209;0;1165;5501
Четвертый сезон #ещенепознер;Юрий Арабов: «Верхний слой бытия» #ещенепознер;2020-11-26T16:30:05Z;316929;11765;282;0;1573;6017
Четвертый сезон #ещенепознер;Лев Лурье: невероятная история главного города России #ещенепознер;2020-10-01T16:15:01Z;305790;10071;256;0;936;5135
Четвертый сезон #ещенепознер;Братва: история бандитского Петербурга #ещенепознер;2020-12-03T17:00:12Z;1739281;34934;3167;0;5507;8399
Четвертый сезон #ещенепознер;Митрополит Иларион: «Винни-Пух и все-все-все» #ещенепознер;2020-11-19T08:00:05Z;250075;6639;1009;0;2717;5148
Четвертый сезон #ещенепознер;Наталья Рязанцева: «Долгая счастливая жизнь» #ещенепознер;2020-11-12T17:20:00Z;224591;6236;233;0;926;5941
Четвертый сезон #ещенепознер;Борис Колоницкий: «Жёсткие парни вкусили власть» #ещенепознер;2020-11-05T16:00:09Z;225597;8512;328;0;1088;3999
Четвертый сезон #ещенепознер;Георгий Кочетков: «Все молчали. Мы молчать не должны» #ещенепознер;2020-10-29T08:00:10Z;234780;5683;1161;0;2153;5881
